ranking,,global_ranking,school_name,country,area,subject_score,global_score,enrollment,url
69,endocrinology-metabolism,342,University of Turku,Finland,Turku,62,56.4,"12,919",https://www.usnews.com/education/best-global-universities/university-of-turku-504089
70,endocrinology-metabolism,160,University of Alabama Birmingham,United States,Birmingham (U.S.),61.9,65.8,N/A,https://www.usnews.com/education/best-global-universities/university-of-alabama-birmingham-100663
71,endocrinology-metabolism,89,Shanghai Jiao Tong University,China,Shanghai,61.8,71.3,"37,478",https://www.usnews.com/education/best-global-universities/shanghai-jiao-tong-university-501915
72,endocrinology-metabolism,241,Hebrew University of Jerusalem,Israel,Jerusalem,61.6,60.9,"16,362",https://www.usnews.com/education/best-global-universities/hebrew-university-of-jerusalem-500554
73,endocrinology-metabolism,89,University of Oslo,Norway,Oslo,61.5,71.3,N/A,https://www.usnews.com/education/best-global-universities/university-of-oslo-502680
74,endocrinology-metabolism,120,Universidade de Sao Paulo,Brazil,Sao Paulo,61.1,68.5,"82,010",https://www.usnews.com/education/best-global-universities/universidade-de-sao-paulo-500437
75,endocrinology-metabolism,48,Sorbonne Universite,France,Paris,60.9,75.2,"44,649",https://www.usnews.com/education/best-global-universities/sorbonne-universite-529569
76,endocrinology-metabolism,86,University of Barcelona,Spain,Barcelona,60.9,71.8,"45,004",https://www.usnews.com/education/best-global-universities/university-of-barcelona-500261
77,endocrinology-metabolism,26,National University of Singapore,Singapore,Singapore,60.7,80.4,"32,337",https://www.usnews.com/education/best-global-universities/national-university-of-singapore-505009
78,endocrinology-metabolism,109,Aarhus University,Denmark,Aarhus,60.6,69.1,"26,475",https://www.usnews.com/education/best-global-universities/aarhus-university-502125
79,endocrinology-metabolism,217,University of Leicester,United Kingdom,Leicester,60.5,62.1,N/A,https://www.usnews.com/education/best-global-universities/university-of-leicester-501221
80,endocrinology-metabolism,2,Massachusetts Institute of Technology (MIT),United States,Cambridge (U.S.),60.2,97.7,"11,415",https://www.usnews.com/education/best-global-universities/massachusetts-institute-of-technology-mit-166683
81,endocrinology-metabolism,389,Universite de Lille,France,Lille,60.2,54.8,N/A,https://www.usnews.com/education/best-global-universities/universite-de-lille-529680
82,endocrinology-metabolism,80,University of Southern California,United States,Los Angeles,59.9,72.5,"42,502",https://www.usnews.com/education/best-global-universities/university-of-southern-california-123961
83,endocrinology-metabolism,125,Sapienza University Rome,Italy,Rome,59.2,68,"74,149",https://www.usnews.com/education/best-global-universities/sapienza-university-rome-506550
